word_category,word,translation,cognate,comments
arm,badda,0,0,
arm,banka,0,0,
arm,binda,1,1,
arm,borsta,1,0,
arm,bulta,0,0,
arm,daska,1,0,
arm,dra,1,0,
arm,dunka,1,1,
arm,fånga,1,0,
arm,fatta,0,0,
arm,fila,1,1,
arm,fläta,1,0,
arm,fösa,0,0,
arm,gestikulera,1,1,
arm,gnida,0,0,
arm,gnugga,1,0,
arm,grabba,1,1,
arm,gräva,1,0,
arm,greppa,1,0,
arm,gripa,1,1,
arm,hacka,1,1,
arm,haffa,0,0,
arm,håva,0,0,
arm,hissa,0,0,
arm,hiva,0,0,
arm,höja,0,0,
arm,karva,1,1,
arm,kasta,1,0,
arm,kela,0,0,
arm,klå,0,1,kognat till claw
arm,klämma,1,0,
arm,klappa,1,1,
arm,klia,0,0,
arm,klicka,1,1,
arm,klippa,0,0,
arm,klösa,1,1,
arm,knacka,1,0,
arm,knipa,0,1,kognat till nip
arm,knivhugga,1,0,
arm,knycka,0,0,
arm,koppla,1,0,
arm,krama,0,0,
arm,kratsa,0,0,
arm,linda,0,0,
arm,lyfta,1,1,
arm,nappa,0,0,
arm,norpa,0,0,
arm,nypa,1,2,
arm,ösa,0,0,
arm,paddla,0,0,
arm,peta,1,0,
arm,pilla,0,0,
arm,piska,1,0,
arm,plocka,1,1,
arm,polera,1,1,
arm,pressa,0,0,"kanske ta med? Och ta med verbet ""press"" på engelska?"
arm,putsa,0,0,
arm,putta,0,0,
arm,rafsa,0,0,
arm,raka,0,0,
arm,raspa,0,0,
arm,repa,0,0,
arm,rista,0,0,
arm,riva,1,0,
arm,ro,1,1,
arm,röra,1,0,
arm,rota,1,0,
arm,rycka,0,0,
arm,signera,1,1,
arm,skaka,1,1,
arm,skala,1,0,
arm,skära,1,0,
arm,skjuta,0,0,
arm,skopa,1,1,
arm,skrapa,1,1,
arm,skrubba,1,1,
arm,skumma,1,2,
arm,skura,0,0,
arm,skyffla ,0,2,möjligtvis kognat till scuff
arm,slå,1,0,
arm,sleva,0,0,
arm,slipa,0,0,
arm,slita,1,0,
arm,slunga,1,0,
arm,smälla,0,0,
arm,smeka,0,0,
arm,snärta,0,0,
arm,sno,0,0,
arm,städa,1,0,
arm,stöta,0,0,
arm,svabba,0,0,
arm,svepa,1,0,
arm,ta,1,0,
arm,torka,1,0,
arm,trumma,0,0,
arm,trycka,1,0,
arm,tvätta,1,0,
arm,tvinna,1,1,
arm,vika,1,0,
arm,vira,0,0,
leg,åla,1,0,
leg,cykla,1,1,
leg,dansa,1,1,
leg,flacka,0,0,
leg,flanera,1,0,
leg,fly,1,1,
leg,gå,1,0,
leg,glida,1,1,
leg,guppa,1,0,
leg,halka,0,0,
leg,halta,1,0,
leg,hoppa,1,0,
leg,ila,1,0,
leg,irra,1,0,
leg,jogga,1,2,
leg,kila,0,0,
leg,klättra,1,0,
leg,kliva,1,0,
leg,knäa,1,1,"eventuellt byta till ""knäböja"""
leg,knalla,0,0,
leg,knata,0,0,
leg,knoga,0,0,
leg,kravla,1,1,
leg,krypa,1,1,
leg,linka,1,0,
leg,löpa,0,1,
leg,lunka,1,0,
leg,marschera,1,1,
leg,pinna,0,0,
leg,promenera,1,0,
leg,ragla,0,0,
leg,ränna,0,1,kognat till run
leg,rulla,1,1,
leg,rulta,1,0,
leg,rusa,1,0,
leg,skejta,1,0,
leg,skrida,1,0,
leg,skutta,1,0,
leg,skynda,0,0,
leg,släntra,0,0,
leg,slinta,1,0,
leg,smyga,1,0,
leg,snava,1,0,
leg,snubbla,0,0,
leg,sparka,1,0,
leg,springa,1,0,
leg,sprinta,1,1,
leg,stå,1,1,
leg,stampa,1,1,
leg,stappla,0,0,
leg,stega,1,0,
leg,stiga,1,2,
leg,stövla,0,0,
leg,ströva,1,0,
leg,strutta,1,1,
leg,studsa,1,0,
leg,svaja,1,2,
leg,svassa,1,0,
leg,tåga,0,0,
leg,tassa,1,0,
leg,träda,1,1,
leg,trampa,1,1,
leg,traska,1,0,
leg,trippa,1,1,
leg,vackla,1,0,
leg,vada,1,1,
leg,vandra,1,0,
leg,vanka,0,0,
leg,vingla,0,0,