word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,space,70.0371073824,,,,,,,,,,,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
,,,,,,,,,,,,,,,,,,,,space,10.8345725509,,,,,,,,,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
,,,,,,,,,,,,,,,,,,,,,,space,8.40276929375,,,,,,,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
,,,,,,,,,,,,,,,,,,,,,,,,space,3.99185941117,,,,,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.73401614762,,,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
PACE,gå fram och tillbaka,luffa runt,rusa fram,3,rusa fram,luffa runt,gå fram och tillbaka,Arm,arm,0,0,0,45,0,0,0,0,,,,,,,,,,,1,6.831,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
PACE,gå fram och tillbaka,luffa runt,rusa fram,3,rusa fram,luffa runt,gå fram och tillbaka,Leg,leg,0,0,0,45,0,1,1,1,,,,,,,,,,,7,4.642,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
PACE,gå fram och tillbaka,luffa runt,rusa fram,3,rusa fram,luffa runt,gå fram och tillbaka,,,0,0,0,45,,,,,,,,,,,,,,,,,3,1,9.49288987546,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SNEAK,smyga,hasa,glida,1,smyga,glida,hasa,Arm,arm,0,1,1,78,0,0,0,0,,,,,,,,,,,1,6.382,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SNEAK,smyga,hasa,glida,1,smyga,glida,hasa,Leg,leg,0,1,1,78,0,1,1,1,,,,,,,,,,,7,1.991,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SNEAK,smyga,hasa,glida,1,smyga,glida,hasa,,,0,1,1,78,,,,,,,,,,,,,,,,,1,1,2.09668346966,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SKATE,åka skridskor,åka skidor,åka kälke,3,åka kälke,åka skidor,åka skridskor,Arm,arm,0,2,2,70,0,0,0,0,,,,,,,,,,,1,4.051,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SKATE,åka skridskor,åka skidor,åka kälke,3,åka kälke,åka skidor,åka skridskor,Leg,leg,0,2,2,70,0,1,1,1,,,,,,,,,,,7,2.092,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SKATE,åka skridskor,åka skidor,åka kälke,3,åka kälke,åka skidor,åka skridskor,,,0,2,2,70,,,,,,,,,,,,,,,,,3,1,6.02108065991,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
KNEEL,knäböja,krypa,kräla,2,kräla,knäböja,krypa,Arm,arm,0,3,3,37,0,0,0,0,,,,,,,,,,,1,5.024,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
KNEEL,knäböja,krypa,kräla,2,kräla,knäböja,krypa,Leg,leg,0,3,3,37,0,1,1,1,,,,,,,,,,,7,1.941,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
KNEEL,knäböja,krypa,kräla,2,kräla,knäböja,krypa,,,0,3,3,37,,,,,,,,,,,,,,,,,2,1,2.96875654413,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
DELVE,gräva,plöja,rensa,3,rensa,plöja,gräva,Arm,arm,0,4,4,18,0,0,0,0,,,,,,,,,,,4,9.245,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
DELVE,gräva,plöja,rensa,3,rensa,plöja,gräva,Leg,leg,0,4,4,18,0,1,1,1,,,,,,,,,,,4,4.187,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
DELVE,gräva,plöja,rensa,3,rensa,plöja,gräva,,,0,4,4,18,,,,,,,,,,,,,,,,,2,0,11.220230922,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
BRUSH,borsta,skrubba,putsa,3,skrubba,putsa,borsta,Arm,arm,0,5,5,4,0,0,0,0,,,,,,,,,,,6,12.887,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
BRUSH,borsta,skrubba,putsa,3,skrubba,putsa,borsta,Leg,leg,0,5,5,4,0,1,1,1,,,,,,,,,,,1,3.835,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
BRUSH,borsta,skrubba,putsa,3,skrubba,putsa,borsta,,,0,5,5,4,,,,,,,,,,,,,,,,,3,1,5.18310615442,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
CARVE,tälja,hacka,riva,3,hacka,riva,tälja,Arm,arm,0,6,6,5,0,0,0,0,,,,,,,,,,,7,6.146,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
CARVE,tälja,hacka,riva,3,hacka,riva,tälja,Leg,leg,0,6,6,5,0,1,1,1,,,,,,,,,,,1,1.671,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
CARVE,tälja,hacka,riva,3,hacka,riva,tälja,,,0,6,6,5,,,,,,,,,,,,,,,,,3,1,13.9374976787,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
STAGGER,ragla,lunka,halka,2,lunka,ragla,halka,Arm,arm,0,7,7,82,0,0,0,0,,,,,,,,,,,1,8.961,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
STAGGER,ragla,lunka,halka,2,lunka,ragla,halka,Leg,leg,0,7,7,82,0,1,1,1,,,,,,,,,,,7,1.905,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
STAGGER,ragla,lunka,halka,2,lunka,ragla,halka,,,0,7,7,82,,,,,,,,,,,,,,,,,2,1,2.34820921269,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
PINCH,nypa,plocka,pensla,1,nypa,pensla,plocka,Arm,arm,0,8,8,48,0,0,0,0,,,,,,,,,,,5,8.429,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
PINCH,nypa,plocka,pensla,1,nypa,pensla,plocka,Leg,leg,0,8,8,48,0,1,1,1,,,,,,,,,,,1,2.361,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
PINCH,nypa,plocka,pensla,1,nypa,pensla,plocka,,,0,8,8,48,,,,,,,,,,,,,,,,,1,1,2.23070111874,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
WOBBLE,vingla,ramla,glida,3,glida,ramla,vingla,Arm,arm,0,9,9,110,0,0,0,0,,,,,,,,,,,3,3.712,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
WOBBLE,vingla,ramla,glida,3,glida,ramla,vingla,Leg,leg,0,9,9,110,0,1,1,1,,,,,,,,,,,7,2.241,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
WOBBLE,vingla,ramla,glida,3,glida,ramla,vingla,,,0,9,9,110,,,,,,,,,,,,,,,,,2,0,2.2477334132,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
STAMP,stampa,kliva,skutta,3,kliva,skutta,stampa,Arm,arm,0,10,10,83,0,0,0,0,,,,,,,,,,,7,6.915,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
STAMP,stampa,kliva,skutta,3,kliva,skutta,stampa,Leg,leg,0,10,10,83,0,1,1,1,,,,,,,,,,,1,2.608,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
STAMP,stampa,kliva,skutta,3,kliva,skutta,stampa,,,0,10,10,83,,,,,,,,,,,,,,,,,3,1,21.3837250652,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
HIKE,vandra,flanera,lunka,3,flanera,lunka,vandra,Arm,arm,0,11,11,31,0,0,0,0,,,,,,,,,,,3,5.913,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
HIKE,vandra,flanera,lunka,3,flanera,lunka,vandra,Leg,leg,0,11,11,31,0,1,1,1,,,,,,,,,,,6,2.395,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
HIKE,vandra,flanera,lunka,3,flanera,lunka,vandra,,,0,11,11,31,,,,,,,,,,,,,,,,,3,1,3.15334596652,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
KNOCK,knacka,krocka,klicka,3,krocka,klicka,knacka,Arm,arm,0,12,12,38,0,0,0,0,,,,,,,,,,,6,5.625,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
KNOCK,knacka,krocka,klicka,3,krocka,klicka,knacka,Leg,leg,0,12,12,38,0,1,1,1,,,,,,,,,,,1,2.208,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
KNOCK,knacka,krocka,klicka,3,krocka,klicka,knacka,,,0,12,12,38,,,,,,,,,,,,,,,,,3,1,2.26466139687,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
FLIT,rusa,hasa,svassa,1,rusa,svassa,hasa,Arm,arm,0,13,13,23,0,0,0,0,,,,,,,,,,,4,3.599,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
FLIT,rusa,hasa,svassa,1,rusa,svassa,hasa,Leg,leg,0,13,13,23,0,1,1,1,,,,,,,,,,,4,1.472,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
FLIT,rusa,hasa,svassa,1,rusa,svassa,hasa,,,0,13,13,23,,,,,,,,,,,,,,,,,3,0,4.32748929432,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
STEP,gå,klampa,traska,2,traska,gå,klampa,Arm,arm,0,14,14,84,0,0,0,0,,,,,,,,,,,1,7.037,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
STEP,gå,klampa,traska,2,traska,gå,klampa,Leg,leg,0,14,14,84,0,1,1,1,,,,,,,,,,,7,2.947,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
STEP,gå,klampa,traska,2,traska,gå,klampa,,,0,14,14,84,,,,,,,,,,,,,,,,,2,1,10.750784109,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
JOG,jogga,spurta,rusa,2,spurta,jogga,rusa,Arm,arm,0,15,15,34,0,0,0,0,,,,,,,,,,,2,11.496,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
JOG,jogga,spurta,rusa,2,spurta,jogga,rusa,Leg,leg,0,15,15,34,0,1,1,1,,,,,,,,,,,7,1.689,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
JOG,jogga,spurta,rusa,2,spurta,jogga,rusa,,,0,15,15,34,,,,,,,,,,,,,,,,,2,1,3.67324878363,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
KICK,sparka,knäa,tåa,3,tåa,knäa,sparka,Arm,arm,0,16,16,36,0,0,0,0,,,,,,,,,,,1,4.874,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
KICK,sparka,knäa,tåa,3,tåa,knäa,sparka,Leg,leg,0,16,16,36,0,1,1,1,,,,,,,,,,,7,1.723,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
KICK,sparka,knäa,tåa,3,tåa,knäa,sparka,,,0,16,16,36,,,,,,,,,,,,,,,,,3,1,2.31487005799,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
WANDER,vandra,marschera,spatsera,2,marschera,vandra,spatsera,Arm,arm,0,17,17,106,0,0,0,0,,,,,,,,,,,1,4.584,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
WANDER,vandra,marschera,spatsera,2,marschera,vandra,spatsera,Leg,leg,0,17,17,106,0,1,1,1,,,,,,,,,,,7,1.939,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
WANDER,vandra,marschera,spatsera,2,marschera,vandra,spatsera,,,0,17,17,106,,,,,,,,,,,,,,,,,2,1,1.84568994878,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
FLEE,fly,lyfta,flyga,1,fly,flyga,lyfta,Arm,arm,0,18,18,22,0,0,0,0,,,,,,,,,,,1,4.035,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
FLEE,fly,lyfta,flyga,1,fly,flyga,lyfta,Leg,leg,0,18,18,22,0,1,1,1,,,,,,,,,,,7,2.009,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
FLEE,fly,lyfta,flyga,1,fly,flyga,lyfta,,,0,18,18,22,,,,,,,,,,,,,,,,,1,1,2.07999453158,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
LIMP,halta,hasa,halka,3,hasa,halka,halta,Arm,arm,0,19,19,41,0,0,0,0,,,,,,,,,,,1,7.589,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
LIMP,halta,hasa,halka,3,hasa,halka,halta,Leg,leg,0,19,19,41,0,1,1,1,,,,,,,,,,,7,2.007,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
LIMP,halta,hasa,halka,3,hasa,halka,halta,,,0,19,19,41,,,,,,,,,,,,,,,,,3,1,2.14713670801,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
DANCE,dansa,snurra,svänga,2,svänga,dansa,snurra,Arm,arm,0,20,20,17,0,0,0,0,,,,,,,,,,,4,4.637,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
DANCE,dansa,snurra,svänga,2,svänga,dansa,snurra,Leg,leg,0,20,20,17,0,1,1,1,,,,,,,,,,,7,2.19,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
DANCE,dansa,snurra,svänga,2,svänga,dansa,snurra,,,0,20,20,17,,,,,,,,,,,,,,,,,2,1,1.45946260972,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
ROAM,ströva omkring,ta sig fram,luffa runt,2,luffa runt,ströva omkring,ta sig fram,Arm,arm,0,21,21,58,0,0,0,0,,,,,,,,,,,1,4.519,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
ROAM,ströva omkring,ta sig fram,luffa runt,2,luffa runt,ströva omkring,ta sig fram,Leg,leg,0,21,21,58,0,1,1,1,,,,,,,,,,,6,3.549,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
ROAM,ströva omkring,ta sig fram,luffa runt,2,luffa runt,ströva omkring,ta sig fram,,,0,21,21,58,,,,,,,,,,,,,,,,,2,1,4.31053760365,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
CATCH,fånga,krama,omfamna,1,fånga,krama,omfamna,Arm,arm,0,22,22,6,0,0,0,0,,,,,,,,,,,6,8.327,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
CATCH,fånga,krama,omfamna,1,fånga,krama,omfamna,Leg,leg,0,22,22,6,0,1,1,1,,,,,,,,,,,1,2.293,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
CATCH,fånga,krama,omfamna,1,fånga,krama,omfamna,,,0,22,22,6,,,,,,,,,,,,,,,,,1,1,1.92876718067,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SKIP,hoppa,kliva,strutta,3,kliva,strutta,hoppa,Arm,arm,0,23,23,72,0,0,0,0,,,,,,,,,,,1,3.632,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SKIP,hoppa,kliva,strutta,3,kliva,strutta,hoppa,Leg,leg,0,23,23,72,0,1,1,1,,,,,,,,,,,7,1.556,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SKIP,hoppa,kliva,strutta,3,kliva,strutta,hoppa,,,0,23,23,72,,,,,,,,,,,,,,,,,3,1,3.55576321132,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
WALK,gå,promenera,marschera,3,marschera,promenera,gå,Arm,arm,0,24,24,105,0,0,0,0,,,,,,,,,,,1,14.299,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
WALK,gå,promenera,marschera,3,marschera,promenera,gå,Leg,leg,0,24,24,105,0,1,1,1,,,,,,,,,,,7,1.673,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
WALK,gå,promenera,marschera,3,marschera,promenera,gå,,,0,24,24,105,,,,,,,,,,,,,,,,,3,1,2.11349489391,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
THROW,kasta,greppa,träffa,2,träffa,kasta,greppa,Arm,arm,0,25,25,94,0,0,0,0,,,,,,,,,,,7,4.117,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
THROW,kasta,greppa,träffa,2,träffa,kasta,greppa,Leg,leg,0,25,25,94,0,1,1,1,,,,,,,,,,,1,1.721,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
THROW,kasta,greppa,träffa,2,träffa,kasta,greppa,,,0,25,25,94,,,,,,,,,,,,,,,,,2,1,1.89521703364,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
DUNK,dunka,dumpa,dunsa,2,dunsa,dunka,dumpa,Arm,arm,0,26,26,20,0,0,0,0,,,,,,,,,,,6,5.744,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
DUNK,dunka,dumpa,dunsa,2,dunsa,dunka,dumpa,Leg,leg,0,26,26,20,0,1,1,1,,,,,,,,,,,3,3.028,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
DUNK,dunka,dumpa,dunsa,2,dunsa,dunka,dumpa,,,0,26,26,20,,,,,,,,,,,,,,,,,2,1,1.97948396181,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
CLAP,klappa,knäppa,klämma,2,knäppa,klappa,klämma,Arm,arm,0,27,27,8,0,0,0,0,,,,,,,,,,,7,2.542,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
CLAP,klappa,knäppa,klämma,2,knäppa,klappa,klämma,Leg,leg,0,27,27,8,0,1,1,1,,,,,,,,,,,1,2.378,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
CLAP,klappa,knäppa,klämma,2,knäppa,klappa,klämma,,,0,27,27,8,,,,,,,,,,,,,,,,,2,1,1.74463293265,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
BOUNCE,studsa,dunka,kasta,2,dunka,studsa,kasta,Arm,arm,0,28,28,2,0,0,0,0,,,,,,,,,,,1,3.161,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
BOUNCE,studsa,dunka,kasta,2,dunka,studsa,kasta,Leg,leg,0,28,28,2,0,1,1,1,,,,,,,,,,,7,1.973,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
BOUNCE,studsa,dunka,kasta,2,dunka,studsa,kasta,,,0,28,28,2,,,,,,,,,,,,,,,,,2,1,2.18068132339,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SWITCH,slå på/av,knäppa,nypa,3,knäppa,nypa,slå på/av,Arm,arm,0,29,29,93,0,0,0,0,,,,,,,,,,,6,5.812,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SWITCH,slå på/av,knäppa,nypa,3,knäppa,nypa,slå på/av,Leg,leg,0,29,29,93,0,1,1,1,,,,,,,,,,,1,2.56,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SWITCH,slå på/av,knäppa,nypa,3,knäppa,nypa,slå på/av,,,0,29,29,93,,,,,,,,,,,,,,,,,3,1,2.31465590475,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
INCH,röra sig långsamt framåt,dra sig snabbt tillbaka,hasa sig bakåt,1,röra sig långsamt framåt,dra sig snabbt tillbaka,hasa sig bakåt,Arm,arm,0,30,30,33,0,0,0,0,,,,,,,,,,,4,7.909,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
INCH,röra sig långsamt framåt,dra sig snabbt tillbaka,hasa sig bakåt,1,röra sig långsamt framåt,dra sig snabbt tillbaka,hasa sig bakåt,Leg,leg,0,30,30,33,0,1,1,1,,,,,,,,,,,4,1.472,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
INCH,röra sig långsamt framåt,dra sig snabbt tillbaka,hasa sig bakåt,1,röra sig långsamt framåt,dra sig snabbt tillbaka,hasa sig bakåt,,,0,30,30,33,,,,,,,,,,,,,,,,,3,0,3.57258569883,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SCRUB,skrubba,sopa,skrapa,2,skrapa,skrubba,sopa,Arm,arm,0,31,31,66,0,0,0,0,,,,,,,,,,,6,6.38,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SCRUB,skrubba,sopa,skrapa,2,skrapa,skrubba,sopa,Leg,leg,0,31,31,66,0,1,1,1,,,,,,,,,,,1,1.94,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SCRUB,skrubba,sopa,skrapa,2,skrapa,skrubba,sopa,,,0,31,31,66,,,,,,,,,,,,,,,,,2,1,1.79506997121,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SCRATCH,repa,riva,klösa,3,riva,klösa,repa,Arm,arm,0,32,32,65,0,0,0,0,,,,,,,,,,,7,2.491,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SCRATCH,repa,riva,klösa,3,riva,klösa,repa,Leg,leg,0,32,32,65,0,1,1,1,,,,,,,,,,,1,1.654,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
SCRATCH,repa,riva,klösa,3,riva,klösa,repa,,,0,32,32,65,,,,,,,,,,,,,,,,,3,1,2.96882450419,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
PAT,klappa,slå,borsta,2,borsta,klappa,slå,Arm,arm,0,33,33,46,0,0,0,0,,,,,,,,,,,7,2.172,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
PAT,klappa,slå,borsta,2,borsta,klappa,slå,Leg,leg,0,33,33,46,0,1,1,1,,,,,,,,,,,1,1.657,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
PAT,klappa,slå,borsta,2,borsta,klappa,slå,,,0,33,33,46,,,,,,,,,,,,,,,,,2,1,2.1972003613,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
STAB,sticka,hacka,skära,2,hacka,sticka,skära,Arm,arm,0,34,34,81,0,0,0,0,,,,,,,,,,,7,2.692,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
STAB,sticka,hacka,skära,2,hacka,sticka,skära,Leg,leg,0,34,34,81,0,1,1,1,,,,,,,,,,,1,1.604,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
STAB,sticka,hacka,skära,2,hacka,sticka,skära,,,0,34,34,81,,,,,,,,,,,,,,,,,2,1,2.29812303776,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
TUG,rycka,pressa,slå,3,pressa,slå,rycka,Arm,arm,0,35,35,102,0,0,0,0,,,,,,,,,,,7,3.598,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
TUG,rycka,pressa,slå,3,pressa,slå,rycka,Leg,leg,0,35,35,102,0,1,1,1,,,,,,,,,,,1,1.771,,,,,,2018_Jun_12_1416,59.6299542478,verb_norming,001,904,
